productName,description,price
Hambúrguer Clássico,"Carne 180g, queijo, alface, tomate, molho especial",25
Pizza Margherita,"Molho de tomate caseiro, muçarela de búfala, manjericão fresco",45
Salada Caesar,"Mix de folhas, croutons caseiros, parmesão em lascas, molho Caesar original",22
Batata Frita,Porção média com cheddar derretido e bacon crocante,15
Refrigerante,"Lata 350ml - opções: Coca-Cola, Guaraná Antarctica ou Fanta Laranja",7
Guacamole,Porção de guacamole fresco com chips de tortilla artesanais,18
Costela BBQ,"Costela suína desfiada ao molho barbecue caseiro, acompanha fritas",55
Brownie com Sorvete,Brownie quente de chocolate meio amargo com bola de sorvete de baunilha,16
Cappuccino,Tradicional com espuma de leite vaporizado e canela em pó,12
Cerveja Artesanal,Long neck 355ml - opções: IPA (amarga) ou Lager (tradicional),14